,0
A_0_0,1.5532536396053607e-07
A_1_0,-5.447209075349831e-06
A_1_1,-0.0011723369748575096
B_1_1,-7.687370577585836e-09
A_2_0,6.098834976746811e-05
A_2_1,-4.71383641407237e-06
B_2_1,-8.930382099686915e-06
A_2_2,-9.450658700110049e-06
B_2_2,-1.9994133940678752e-06
A_3_0,-8.19149275543779e-05
A_3_1,-0.0013104231706754278
B_3_1,0.0005806548844065666
A_3_2,2.3048117997517863e-06
B_3_2,4.357220932615174e-06
A_3_3,-0.0002981119792440935
B_3_3,-7.678038167476609e-05
A_4_0,-0.00027848536338653465
A_4_1,9.777323419346218e-05
B_4_1,0.00019933604362285643
A_4_2,-0.0007679495960508586
B_4_2,0.00027313753894997743
A_4_3,-8.003494912735734e-05
B_4_3,7.658669401250204e-05
A_4_4,-3.300357059761821e-05
B_4_4,0.00015756653863657823
A_5_0,-0.0016254226673391417
A_5_1,0.05225673372560895
B_5_1,0.014720022928672779
A_5_2,-0.0006670516249091634
B_5_2,-0.0005091139611992718
A_5_3,0.0011001819941487616
B_5_3,4.629311287592929e-05
A_5_4,0.0002701278229620219
B_5_4,0.0005801037606588629
A_5_5,0.0012653863115097402
B_5_5,0.0016169098657594818
A_6_0,-0.042385154150128286
A_6_1,0.0003909305843319914
B_6_1,-0.0033378159121768176
A_6_2,-0.0020395287126771253
B_6_2,-0.002390172691457211
A_6_3,0.001541517937874186
B_6_3,-0.007326923081987405
A_6_4,-0.00034506996687010675
B_6_4,-0.0012434915299430701
A_6_5,-0.0014561363134606784
B_6_5,0.007657720029949272
A_6_6,0.0004720674815013608
B_6_6,-0.0019625398920316657
A_7_0,0.0892710491672343
A_7_1,0.007620420375782494
B_7_1,-0.19512766404924062
A_7_2,0.01580826357601183
B_7_2,0.009200304287389787
A_7_3,0.004556287177837071
B_7_3,-0.00616450533714418
A_7_4,0.004902029157777655
B_7_4,-0.024942218032205386
A_7_5,0.030651626140559548
B_7_5,0.022534330694521792
A_7_6,-0.02461968232320354
B_7_6,0.02033678175169924
A_7_7,0.007643774130972116
B_7_7,-0.0074603115878547075
A_8_0,4.07682226157277
A_8_1,-0.17102350441922476
B_8_1,-0.4780113573800172
A_8_2,0.056406165974265676
B_8_2,-0.15134621278985871
A_8_3,-0.04796440115824068
B_8_3,-0.05148672585283366
A_8_4,-0.023080585147897115
B_8_4,-0.07146050773367828
A_8_5,0.11496398900091304
B_8_5,-0.022562634454204016
A_8_6,0.03118006552102733
B_8_6,0.012580222662491954
A_8_7,-0.039627962959331665
B_8_7,0.11994491119234076
A_8_8,0.04041091703523552
B_8_8,0.09390551506306258
