,x_gnl,y_gnl,z_gnl,r_gnl,x_gt,y_gt,z_gt,r_gt,match_distance
0,-4.1,-2.31,-1.19,4.8540910580663805,-4.059262646966386,-2.1600709266908122,-1.0511352688761078,4.7168214932162424,0.2083786757459793
1,16.61,-2.13,-0.95,16.772939515779573,16.313316712402873,-2.227858159755413,-0.8180608444848707,16.485050126840104,0.3391240677513181
2,-2.48,17.55,-1.69,17.804746558151283,-2.4405416809540665,17.47870404358129,-1.1377512792171025,17.684903638780142,0.5582281988129373
3,-23.4,-2.25,-1.08,23.532719774815657,-23.341648310210786,-2.207004577467406,-1.277895751174365,23.480554350214938,0.21075164149509945
4,-4.67,-23.46,-1.09,23.94511641232926,-4.095155383032097,-22.95538792275862,-1.324325252488942,23.355384168749804,0.799992503782905
5,36.44,-1.93,-1.24,36.5121363384834,35.97299270456828,-2.1100582976467086,-1.3785473929075645,36.06118332857204,0.5193382179460357
6,-2.85,37.56,-0.97,37.680459126714474,-3.233436782045539,37.375573944379944,-1.131429594291388,37.532236464433296,0.4550782896712313
7,-4.62,-43.09,-1.7,43.370295133881676,-4.491140251093951,-42.489595142281914,-1.7215451460719327,42.76096062765647,0.6144550605039155
8,-43.98,-2.49,-1.63,44.080578489851966,-43.50501364748596,-2.1008237706841837,-1.5607292093604896,43.58366148740102,0.6179551884844797
9,-2.5,57.94,-0.77,57.99902154347088,-2.7739847650118836,57.54955096895374,-0.9772245416790848,57.62465423765753,0.5200577929208315
10,-63.39,-2.11,-1.67,63.44708897971601,-62.91204917867023,-1.808210460942131,-1.6682250495915543,62.96013446417159,0.565258404575744
11,86.86,111.14,-1.25,141.0614110946009,90.13941239607469,114.36467830300826,-0.5094283135597006,145.61817478483533,4.658491412912297
12,101.54,98.16,-1.23,141.23480484639757,105.12843019435347,101.35430083656816,-0.34479549827083966,146.03013393520612,4.885076878016277
13,125.32,65.3,-1.58,141.32122558200518,128.59946818456925,67.72907514782847,-0.7147983429558131,145.34635108734352,4.171797161266577
14,114.7,82.8,-1.56,141.47213011756062,118.17463962197344,84.97536151489965,-0.6407601604765589,145.55572159126703,4.201228404367144
15,133.76,48.48,-1.12,142.27895979377976,136.61037481858543,49.812687808594994,-0.7672300677118535,145.41075275497252,3.1662501522669175
16,71.54,123.19,-1.23,142.4614354834318,74.20412185540172,125.98237995187078,-0.4843980962187966,146.21233326975005,3.9307573386004293
17,139.87,29.45,-1.01,142.94033545504223,142.29882370284372,30.62403859526223,-0.598857134387349,145.55804889103356,2.728844015073957
18,118.27,-80.46,-1.57,143.05268050616877,121.57041702327895,-84.64637654220131,-1.799167814393944,148.14726579239468,5.335824113274073
19,128.01,-64.28,-1.26,143.24826735426853,131.19395583754863,-67.64974136078047,-1.3078792889294568,147.61453892730066,4.636272645166915
20,54.51,132.58,-1.43,143.35564655778302,56.62871188155584,135.50903833197538,-0.5574164282969525,146.86667829053522,3.7188180483633437
21,135.99,-45.84,-1.56,143.51661680795016,138.24886334960175,-48.7774066802185,-1.5717842742457977,146.6098704920956,3.7055310693995973
22,91.12,-110.95,-1.47,143.578960157817,95.04029607325583,-115.2116146172366,-1.8592763934820182,149.36475798899195,5.803586525447182
23,143.13,11.37,-1.41,143.58781946948005,145.93236844929086,10.928574935326969,-0.9034299713117511,146.3437941870092,2.8817942687269857
24,115.96,79.67,29.23,143.69559283429678,116.37413247856627,80.35842220227156,34.454828606240255,145.55943783644815,5.2862335176352495
25,141.18,-27.07,-1.09,143.75592300841035,143.35679867838405,-29.254735052831183,-0.7139249992183685,146.31309216618516,3.1069200413748503
26,88.88,109.46,28.58,143.86786437561378,89.66715312733923,109.8659316343074,34.74042747718132,146.00554299454973,6.223765519299555
27,105.7,-97.61,-1.93,143.8885923205867,109.25375316947954,-102.07947110470927,-1.7953198637332184,149.53201722724086,5.7116960952524245
28,143.66,-8.55,-0.74,143.91610646484293,146.10774879588826,-9.181404347113114,-0.7200224183532733,146.39771472352464,2.527952673824059
29,103.94,95.33,29.26,144.03985594272163,104.51875224842584,95.55622554360863,34.512745601578175,145.76107649392577,5.289373168584141
30,36.78,139.52,-1.25,144.29193082081895,37.831108944888136,142.4025540992715,-0.6166021629976326,147.34334194738273,3.132912537746623
31,88.94,109.7,-31.21,144.6322152910616,89.3988727020206,111.38354928125293,-35.834839972387925,147.25009082078026,4.943080730603543
32,103.83,95.73,-31.37,144.6685131602589,104.45564354665484,97.37073689679013,-35.664582661893114,147.18697064963578,4.639707711892236
33,17.7,143.59,-0.88,144.67948195926056,17.868536918652413,146.25732913184763,-0.8624653826171942,147.3473270301537,2.6727059047636734
34,139.34,25.94,29.15,144.70052418702568,138.49176791442952,25.613597111181676,34.77705614206506,145.07056824506648,5.699982223022481
35,134.51,45.15,28.46,144.71155517096759,133.93536547380035,45.17521238946485,34.58735053404553,145.51895668949345,6.15428834800184
36,126.65,63.72,29.31,144.7740895326232,126.61340885260478,63.672469399670206,34.606856205622464,145.88616506429054,5.297195836768415
37,75.4,-123.67,-1.31,144.84869692199513,79.16771150004183,-127.40436963388085,-1.6945629845678678,150.00757144114115,5.31874564151159
38,116.28,80.51,-31.41,144.87748824437838,116.26762938608077,81.87130422415761,-35.850080098998006,146.65026539876487,4.644094476678552
39,-0.83,144.88,-1.11,144.8866294728399,-1.511618579058309,148.07146231052002,-0.9646020469412564,148.08231966920718,3.2666766187581144
40,-90.37,113.37,-1.79,144.99206150682872,-93.82920615772086,117.30890361867789,-2.1819962307034393,150.23335150343664,5.256874547079598
41,126.56,63.33,-31.95,145.08247654351646,126.29073111670255,64.65866979988527,-36.070193104519376,146.39382219506115,4.337494713215045
42,73.1,122.03,29.01,145.17751547674317,73.40949399753349,122.08157006523129,34.51901955202268,146.57566738513867,5.517947302276938
43,-56.27,133.89,-1.18,145.2385534216036,-59.29970415690815,137.11619095282958,-1.1870390024330901,149.3944905145533,4.4257728014507585
44,-74.71,124.55,-1.68,145.24843889006175,-77.656903250327,128.18770849921046,-1.60124289287477,149.88411260540985,4.682239269189334
45,-105.79,99.54,-1.79,145.26850931981096,-109.52033966494368,103.4501963227825,-1.757301644051765,150.664315710838,5.4042703930350795
46,-19.26,143.99,-0.96,145.27556332707854,-20.9760846811428,146.86330209943236,-1.13300577632423,148.35804438650703,3.351230010920899
47,-38.7,140.1,-1.35,145.35309594226052,-40.71846938673632,143.36637856749485,-1.0944575304973831,149.04063234582335,3.848213814888786
48,73.38,121.52,-31.72,145.45753057164143,73.41210386583182,122.38970141688226,-36.01848612776366,147.19343514524408,4.385703387520067
49,135.06,44.19,-31.48,145.55050704137034,134.316659585167,45.5315826113977,-35.80799621485263,146.27475055572327,4.591726267027191
50,142.34,6.45,29.75,145.55871873577345,141.2169600586774,5.626011136976016,34.54247466839381,145.48905239138816,4.990790498847834
51,142.08,5.4,-31.66,145.66482760090028,140.91493451990993,5.809041499559118,-35.88100498670451,145.52735224949987,4.397905821984305
52,55.73,131.42,29.31,145.72620011514744,55.85646424512788,131.5395242810746,34.12416450384463,146.92531997291724,4.817308286703251
53,125.38,-68.46,28.85,145.73688105623776,124.37769853836703,-71.5523484388721,34.31087513392376,147.53571300967906,6.3551856240154905
54,140.05,25.72,-31.53,145.84122119620366,139.092319113946,26.173238785192947,-35.87671086868059,146.0097601112933,4.473977363803079
55,113.9,-85.39,-31.81,145.8647942445332,113.9411057139844,-87.27183518310278,-36.559338478443166,148.10649552782417,5.10873852520429
56,114.16,-86.17,28.74,145.88955445815853,114.09284242082838,-88.97806508895512,33.92354304086077,148.61049603269427,5.895664351089269
57,59.8,-133.1,-1.86,145.92843999714378,62.839106592264606,-137.04798265613857,-1.6991248896390645,150.77728573237363,4.984838686803302
58,-118.95,84.72,-1.81,146.04744776955192,-122.47475770071027,88.87404929949376,-2.089193960377302,151.33746279140738,5.455088605957939
59,101.49,-100.32,-31.32,146.10018788488944,101.48437462417952,-102.28333501316477,-36.52305752411102,148.6435085874443,5.561162074421149
60,124.98,-68.48,-32.21,146.10610835964388,124.60386150112247,-69.78365634263703,-36.90368431092211,147.5051284168058,4.88586455406123
61,38.13,138.05,29.15,146.15547167314674,37.79606349678054,137.89680312718656,34.30472838214718,147.0404200141023,5.167804907669791
62,142.26,-13.03,-31.14,146.21008207370653,141.24732928561644,-13.65879221298259,-35.89915145618005,146.37663649063177,4.906159822685999
63,139.87,-31.6,28.69,146.23711225267,138.3372458006799,-33.954124305869726,34.35955192325999,146.52868299914314,6.327326109310398
64,142.62,-13.18,29.63,146.26043108100018,140.98893331232574,-15.035405854856684,34.56060690765641,145.9396392197584,5.514870252662908
65,133.68,-50.36,-31.44,146.270111779543,132.72935321564836,-51.47086788339704,-35.89025734258863,146.81431135223735,4.684287264699421
66,56.3,131.28,-31.53,146.28147285285308,56.21693161053562,132.1064694820318,-36.13067873958577,148.04691359462308,4.675061178950987
67,101.66,-101.08,29.24,146.31096883009147,101.29538238638922,-103.73259653943043,34.24424434392946,148.97608649814845,5.675533090283549
68,139.04,-32.54,-32.04,146.34730882390699,137.78437944876092,-33.500109307654995,-36.332710630444225,146.3791597375137,4.574467991807194
69,134.2,-50.91,29.04,146.44039640754866,133.09083733216954,-53.73440836660161,34.277570511304404,147.56527187805457,6.053071064007381
70,-90.41,111.86,28.76,146.67571475878344,-93.58444002217728,113.0162514658675,33.428258562605045,150.4930861541123,5.76251897298889
