,0
A_0_0,-0.000184267820661679
A_1_0,-0.013401364465886762
A_1_1,8.784601590197376e-05
B_1_1,-1.1707529905504896
A_2_0,-0.011507292036497531
A_2_1,-0.004414462512799752
B_2_1,0.013698679457800745
A_2_2,0.0008255920559632848
B_2_2,-0.00515307188273794
A_3_0,0.00865637718959013
A_3_1,-0.02080256584369343
B_3_1,-1.2541809961393007
A_3_2,0.009601548074317864
B_3_2,-0.000508415064624165
A_3_3,-0.004661756122736998
B_3_3,0.26210174011044807
A_4_0,-0.21863136180481513
A_4_1,-0.023427969942721828
B_4_1,-0.46628043511864165
A_4_2,-0.08415040772440752
B_4_2,0.11870094018944621
A_4_3,-0.03119282641144289
B_4_3,-0.017442479085030813
A_4_4,0.0012269892091852446
B_4_4,0.026138148387668456
A_5_0,1.6643061093331812
A_5_1,-0.23251269370951366
B_5_1,48.229131301207346
A_5_2,1.4855092417369993
B_5_2,-0.4557859494003326
A_5_3,0.7987845079713278
B_5_3,-0.8141065325151627
A_5_4,-0.2538127123266734
B_5_4,0.10920926381119983
A_5_5,0.9880900557534723
B_5_5,1.9088072887961158
A_6_0,-6.089703294288255
A_6_1,2.171525540895157
B_6_1,1.3974878474791144
A_6_2,4.654686977865317
B_6_2,5.3213220883145915
A_6_3,2.256801314453679
B_6_3,2.153182999573086
A_6_4,-0.6055767985183782
B_6_4,1.3493272025371121
A_6_5,-2.6001761970468977
B_6_5,0.9656492059989437
A_6_6,-3.1282780239995827
B_6_6,5.081475186339634
A_7_0,-12.665261979707667
A_7_1,-40.39069718288963
B_7_1,-23.655279297024254
A_7_2,-16.83494781162467
B_7_2,5.2669528034699855
A_7_3,9.405522696570266
B_7_3,-66.0382845013012
A_7_4,-35.8560331137785
B_7_4,15.843918664558458
A_7_5,1.672174757227615
B_7_5,-39.85692482699941
A_7_6,-8.96334388909914
B_7_6,5.608839568969436
A_7_7,-12.89389182645551
B_7_7,-27.453174256085457
A_8_0,-400.73177485052634
A_8_1,77.64659337062942
B_8_1,44.46995281582956
A_8_2,-87.35997848978333
B_8_2,132.87467828780598
A_8_3,-140.69791421247777
B_8_3,33.09455755410169
A_8_4,-244.2769172726594
B_8_4,49.408536123758736
A_8_5,88.59883132421095
B_8_5,-144.56088846072004
A_8_6,123.95735238743373
B_8_6,4.553599724805745
A_8_7,-42.45970165564717
B_8_7,5.7922113123522445
A_8_8,5.417535546495165
B_8_8,-78.8493875369617
