,0
A_0_0,-0.00014789277202411865
A_1_0,-0.010714866724524786
A_1_1,0.005342826872436138
B_1_1,-1.1715678514252486
A_2_0,-0.009917971310405723
A_2_1,-0.005521078457522502
B_2_1,0.009900854466400105
A_2_2,0.0011462601520246872
B_2_2,-0.0025903415069880083
A_3_0,0.015470443729472027
A_3_1,-0.02129737963962357
B_3_1,-1.2277418534291782
A_3_2,0.017573740257466008
B_3_2,-0.0026560507749705644
A_3_3,-0.004810277063602551
B_3_3,0.2986782649823959
A_4_0,-0.10639410308608663
A_4_1,-0.016166087464432755
B_4_1,-0.1731276957281655
A_4_2,0.024829023190973677
B_4_2,-0.21577398912462423
A_4_3,0.1043605994601277
B_4_3,0.038645566681821154
A_4_4,0.002705810836997909
B_4_4,0.0012044336526535744
A_5_0,0.9678284922023641
A_5_1,-0.5142813516981064
B_5_1,47.39787086440918
A_5_2,0.8794157325943378
B_5_2,-0.6167168910372343
A_5_3,0.6375760124112771
B_5_3,-1.2532911079636977
A_5_4,-0.11975644096242336
B_5_4,-0.19402715485761735
A_5_5,-0.050212226488395906
B_5_5,1.23558848271394
A_6_0,-3.3291388921667293
A_6_1,2.242322742249023
B_6_1,-4.484771028795656
A_6_2,-0.5636984347384318
B_6_2,-4.5396349988651465
A_6_3,6.24816027525936
B_6_3,-3.000880335808009
A_6_4,-2.789992786342769
B_6_4,-0.4755498789968104
A_6_5,0.8572301854082184
B_6_5,-1.1480694842339105
A_6_6,-1.3156739424642796
B_6_6,2.7024249809451386
A_7_0,18.13283741704925
A_7_1,-3.4711709881437756
B_7_1,11.627140598451733
A_7_2,-5.960294084425076
B_7_2,1.405592110988442
A_7_3,37.39661742110973
B_7_3,-17.821576907174038
A_7_4,-21.661368686495642
B_7_4,-7.6776238176175156
A_7_5,17.965935100780236
B_7_5,24.42496895272311
A_7_6,1.5372230873083021
B_7_6,11.161732560871663
A_7_7,-10.935904086103488
B_7_7,-0.20540406042868764
A_8_0,-208.42623911612395
A_8_1,22.23211950125346
B_8_1,243.16784830857554
A_8_2,-145.53412090460438
B_8_2,102.77039839354156
A_8_3,76.34466156339435
B_8_3,26.463267808405405
A_8_4,33.682115596047026
B_8_4,-3.0776805937677083
A_8_5,57.16625589302558
B_8_5,3.8923189217630685
A_8_6,-57.92802472046423
B_8_6,123.54151827808646
A_8_7,10.634826064904667
B_8_7,-4.734580665501271
A_8_8,-102.15685199751763
B_8_8,-46.567837062716386
