,0
A_0_0,-2.7823244505997785e-08
A_1_0,-8.502139609410098e-06
A_1_1,-0.0011714975732472546
B_1_1,-3.923438014063474e-06
A_2_0,-6.705238917811012e-05
A_2_1,-2.2749498971339495e-05
B_2_1,-2.2753929427372078e-05
A_2_2,4.447614301802587e-06
B_2_2,2.5078603633002796e-06
A_3_0,6.612877149901104e-05
A_3_1,-0.0013925142092894493
B_3_1,-0.0005626840392726718
A_3_2,-2.5956375203006966e-05
B_3_2,8.91235437995362e-06
A_3_3,-0.00032668474763882443
B_3_3,5.666199403444567e-05
A_4_0,0.00016689700814902968
A_4_1,-0.0001905331781010764
B_4_1,5.094973183972251e-05
A_4_2,0.0006682125436250078
B_4_2,-5.5442110456585524e-05
A_4_3,0.00019482447281305365
B_4_3,-0.0001862631041795998
A_4_4,8.862770610492605e-05
B_4_4,-0.00033092566617673214
A_5_0,0.002045567152935878
A_5_1,0.044942238327903304
B_5_1,-0.01434625378610866
A_5_2,-0.00035373675577585304
B_5_2,-0.0015065910548503383
A_5_3,0.0017507486159626124
B_5_3,-0.0005337593172883334
A_5_4,-0.0002478647847361484
B_5_4,-3.09084901234836e-05
A_5_5,-0.0004462653420657136
B_5_5,-0.0006331742751566433
A_6_0,0.03578590363324243
A_6_1,0.002639541231601211
B_6_1,0.0055935010774625605
A_6_2,0.0029247780801732195
B_6_2,-0.0045738848816832016
A_6_3,0.0030008624383371504
B_6_3,0.005201952243900491
A_6_4,-0.0016249751372575648
B_6_4,-0.0011254171409457664
A_6_5,0.0052452042176340825
B_6_5,-0.005236389862587494
A_6_6,-0.0011256221197484021
B_6_6,-0.0005295604168522655
A_7_0,-0.08805716521106693
A_7_1,0.1025996771945361
B_7_1,0.12062773207104648
A_7_2,0.03144001908232935
B_7_2,-0.00740105546136521
A_7_3,0.013393778719272689
B_7_3,-0.003350510838330932
A_7_4,-0.00029473096452689064
B_7_4,0.01700338270140288
A_7_5,0.009861138149951152
B_7_5,-0.013137314370990801
A_7_6,0.009294911183444372
B_7_6,-0.010572743270797168
A_7_7,-0.0014327948336605876
B_7_7,0.012596027839606214
A_8_0,-4.501659713701868
A_8_1,0.005504705688310942
B_8_1,0.1475196025158004
A_8_2,0.23983666602878217
B_8_2,-0.19343799908275486
A_8_3,-0.09731092805315002
B_8_3,0.12132677596745965
A_8_4,0.09347509491328143
B_8_4,-0.016133718525743544
A_8_5,0.22215355913651355
B_8_5,0.06029107520386288
A_8_6,-0.06839914793995443
B_8_6,0.02588518887405659
A_8_7,-0.050323461940184624
B_8_7,0.007587392545770994
A_8_8,-0.12004029845832989
B_8_8,-0.0958935730475117
