,0
A_0_0,-2.7657849142263983e-07
A_1_0,-1.2806257454903065e-05
A_1_1,-5.597837456428217e-06
B_1_1,-0.0011709597563007287
A_2_0,-1.3338108582626773e-05
A_2_1,-3.932089337395354e-06
B_2_1,1.1104524824210313e-05
A_2_2,5.7028312848252e-07
B_2_2,-8.972326009019801e-06
A_3_0,1.9996156643738074e-05
A_3_1,-1.945520148828016e-05
B_3_1,-0.0012187885634402534
A_3_2,1.2474333071117871e-05
B_3_2,9.547373241441797e-06
A_3_3,-1.2841764287849132e-06
B_3_3,0.00029413596757345213
A_4_0,-0.0001979526067046122
A_4_1,2.499150060583206e-05
B_4_1,-4.490559412158196e-05
A_4_2,-1.1262062674946833e-05
B_4_2,0.0001207777462626223
A_4_3,4.7637502851075556e-05
B_4_3,6.267577054225148e-05
A_4_4,3.384348851172913e-05
B_4_4,2.5833328425520136e-05
A_5_0,0.0021704600557307177
A_5_1,-0.0007232169297762655
B_5_1,0.04694033498597496
A_5_2,0.0011238619381862493
B_5_2,0.0005988863309137816
A_5_3,7.488785661110302e-06
B_5_3,-0.002105108207017135
A_5_4,0.00018681470444953445
B_5_4,0.00022607849370439117
A_5_5,0.0004655132396347764
B_5_5,0.0012764725016864641
A_6_0,-0.009895551059313678
A_6_1,0.004338146747833416
B_6_1,0.0021386167132468846
A_6_2,0.0034839053868346292
B_6_2,-0.0019401301654752246
A_6_3,-0.0001999869544112278
B_6_3,-0.0012270115137234703
A_6_4,0.003560838919240489
B_6_4,-0.0005651385087034777
A_6_5,-0.0013620588516976364
B_6_5,-0.000608209170889684
A_6_6,-0.0036894371215347283
B_6_6,0.003119511975311911
A_7_0,0.03688134398958487
A_7_1,-0.0059292551321247985
B_7_1,-0.010827099389086464
A_7_2,-0.01892379697081982
B_7_2,0.006502814292974523
A_7_3,0.004508390105323206
B_7_3,-0.027006768643646994
A_7_4,0.01673618592304844
B_7_4,-0.016988949210515945
A_7_5,-0.005534724121020299
B_7_5,0.017988074475821757
A_7_6,0.013639402913126009
B_7_6,0.012547079135724493
A_7_7,0.012477389651669996
B_7_7,-0.013749456685087166
A_8_0,-0.43526477682896036
A_8_1,-0.04656374781350576
B_8_1,0.23558343393448652
A_8_2,0.07802735930837622
B_8_2,0.010947739575658552
A_8_3,0.042579104842841865
B_8_3,0.06935568801684107
A_8_4,0.05675662311954263
B_8_4,-0.015721900286837173
A_8_5,0.12117973080244261
B_8_5,0.014138100520296796
A_8_6,-0.03544479577463826
B_8_6,0.03883810338546776
A_8_7,-0.094177214461634
B_8_7,-0.008383943467639286
A_8_8,-0.044072644359070906
B_8_8,0.002790203913930862
