,x_gnl,y_gnl,z_gnl,r_gnl,x_gt,y_gt,z_gt,r_gt,match_distance
0,-2.91,-2.3,-2.14,4.282254079337189,-2.9182457498532792,-2.2252153689456478,-2.252270227279155,4.305863777619624,0.13514931507740416
1,-1.44,17.63,-2.32,17.84020459523937,-1.3906649666982207,17.42093191611404,-2.320358675040302,17.629715886999353,0.21481046962012562
2,17.68,-2.44,-2.59,18.03452522247259,17.455094214772654,-2.198981725751351,-2.087227712118119,17.716443045911106,0.6012091102208174
3,-22.22,-2.29,-2.48,22.47493937700389,-22.200858111574693,-2.3611298976501143,-2.4147746840674578,22.456272443543746,0.09838808906926966
4,-2.99,-23.75,-1.99,24.020047876721645,-2.85887740532385,-23.020132075020264,-2.550673661713416,23.336786344709218,0.9296533104808272
5,-2.14,37.62,-2.46,37.761032824857956,-2.275544134772072,37.31389651777437,-2.287152209697088,37.453117889953994,0.3767597549027309
6,37.7,-1.72,-2.59,37.82798567198629,37.11203294315294,-1.9895084548212663,-2.7131373484629826,37.26422208146977,0.6584093511972912
7,-42.83,-2.42,-2.4,42.96539654186843,-42.365331257855935,-2.34794214497729,-2.630226927757059,42.51178917189353,0.5235587958010771
8,-3.02,-43.18,-3.41,43.41959120028653,-3.165842019146745,-42.55547102928489,-2.970368816223832,42.77632243565236,0.7775486528569843
9,-1.78,57.54,-2.07,57.60472984052612,-1.9088840605639439,57.48958404789107,-2.109902613608717,57.55994962988692,0.14403155163819711
10,-62.55,-2.13,-2.89,62.65294486295117,-61.77376333273025,-2.14503403262907,-2.67263808533804,61.86874818213558,0.8062354418509852
11,115.81,82.26,-2.0,142.06570205366248,118.91205839593661,85.47452238644924,-2.1434226981793856,146.46011699439995,4.469506744053211
12,102.66,98.25,-1.91,142.11187916567707,105.79130153766482,101.79253018623444,-1.783992975207115,146.82200554986355,4.729740712815185
13,126.12,65.63,-2.18,142.19108164719756,129.4162297427873,68.27677668588767,-2.273241039800326,146.34017350091366,4.228386362869072
14,134.6,48.21,-2.3,142.9917973171888,137.50968968265,50.39773814205502,-2.3742183843661504,146.47349138799999,3.6411537451884812
15,140.16,29.62,-1.4,143.26245146583247,143.28735124425208,31.235436502147166,-2.2481964553111853,146.66960117002776,3.620690282832402
16,103.82,94.97,28.37,143.53658140000408,105.32490238846856,95.94977063066528,33.06829803180813,146.26416472238918,5.029779923935521
17,116.58,79.81,28.47,144.12173118582777,117.2501822531108,80.80708686496307,32.95232517547513,146.16171270363398,4.640535038911431
18,129.12,-64.35,-2.72,144.29239515650158,132.63478723761318,-67.0877688465665,-3.0399032249797537,148.66740236512678,4.466704115594745
19,136.74,-46.13,-2.82,144.33903456792277,139.60141839146502,-48.182676850440046,-3.304344379523915,147.71948096700478,3.554685209877671
20,119.79,-80.61,-2.58,144.4100848278956,123.08836894388406,-84.1281640708428,-3.5197986062216,149.13310679196866,4.913241042286046
21,141.79,-27.64,-1.53,144.46700176856996,144.6218490607069,-28.63761679395288,-2.439742382526436,147.45014297812082,3.1372343828232303
22,-89.19,113.69,-3.34,144.5386723337391,-93.24302069966122,116.82822664878995,-2.938169168233924,149.50494402915123,5.141683703653458
23,88.96,109.99,29.72,144.55089103841593,90.40812678684489,110.19029422272175,33.36294590132119,146.38516485358306,3.9253335917328473
24,88.58,110.01,-30.84,144.56736180756707,89.89704993616853,111.79154437223889,-37.20913293796577,148.20036624229863,6.743469082460306
25,144.14,11.1,-2.26,144.58442931380955,147.0109059564795,11.557383369845201,-2.5888811256527555,147.48722617903286,2.9256560551047475
26,92.65,-111.03,-2.89,144.6376005746777,96.69983560601725,-114.81578273062985,-3.5286595035754185,150.1531671599708,5.58043056410591
27,144.39,-8.67,-2.24,144.667406833744,147.27989985724662,-8.551774740698159,-2.4305596073983358,147.54799006825323,2.8985878218233965
28,106.46,-98.02,-3.31,144.75015751286767,110.85254213995368,-101.61807517977401,-3.4961100971625823,150.4218803497147,5.681127389774024
29,-104.88,99.72,-3.06,144.75239687134717,-108.86838690240468,102.89653598992646,-2.4780272742228,149.82043720610918,5.1318908047736045
30,32.79,-42.28,134.78,145.01183020705588,33.12687551387273,-44.2140186211653,138.20529346460475,148.83874651978863,3.9479803010558645
31,126.64,63.38,-31.27,145.02595250506027,127.003612639869,65.23824712907921,-37.624453344929606,147.65346593140808,6.630563615371675
32,73.35,121.64,29.34,145.04257202628474,74.09349825716198,122.33080593162414,33.21064517970707,146.82513244372421,4.001486798773626
33,104.23,95.95,-31.45,145.11856497361046,105.01895032204123,97.84838212615043,-37.106166726252766,148.25705184093263,6.018182395267305
34,116.84,80.16,-31.58,145.17061548398834,116.90180523452807,82.40402507555464,-37.34994196277025,147.82243936685146,6.19125986213389
35,-117.67,85.02,-3.19,145.20607907384596,-121.75629184474509,88.26099156116405,-2.784469227092425,150.40728208440984,5.23127733424083
36,127.63,63.34,28.9,145.38425808869403,127.56696828186529,64.16853751409522,33.04987270844776,146.57157531175295,4.23224419263275
